UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
2,13,2891.9,2907,3,1,['Armsdealing 63'],77.9,0,[],0,2,['Armsdealing 96'],4.3,NA,0,[],0,0,[],0
2,14,2907,2995.4,4,1,['Armsdealing 6'],21.9,2,['Armsdealing 63'],48.9,0,[],0,Armsdealing 63,0,[],0,1,['Venezuela'],1
2,15,2995.4,3093.4,9,4,['Armsdealing 5' 'Armsdealing 88' 'Armsdealing 89' 'Armsdealing 90'],689.5,5,['Armsdealing 5'],9.7,0,[],0,Armsdealing 5,0,[],0,0,[],0
2,16,3093.4,3273.5,20,11,"['Armsdealing 25' 'Armsdealing 29' 'Armsdealing 51' 'Armsdealing 53'
 'Armsdealing 54' 'Armsdealing 87' 'Armsdealing 88' 'Armsdealing 89'
 'Armsdealing 90']",197.9,7,['Armsdealing 25' 'Armsdealing 54'],23.9,1,['Armsdealing 25'],1,Armsdealing 25,0,[],0,1,['Burj'],1
2,17,3273.5,3462.4,19,7,"['Armsdealing 56' 'Armsdealing 77' 'Armsdealing 8' 'Armsdealing 91'
 'Armsdealing 92' 'Armsdealing 93' 'Armsdealing 94']",172.2,9,['Armsdealing 29' 'Armsdealing 5' 'Armsdealing 8'],41.7,2,['Armsdealing 29' 'Armsdealing 93'],7.4,Armsdealing 29,0,[],0,1,['salah ahmed'],1
2,18,3462.4,3489.3,3,1,['Armsdealing 29'],24.5,0,[],0,0,[],0,NA,0,[],0,2,"[' ahmed', 'ahmed']",2
2,19,3489.3,4239.7,59,18,"['Armsdealing 10' 'Armsdealing 25' 'Armsdealing 26' 'Armsdealing 29'
 'Armsdealing 38' 'Armsdealing 39' 'Armsdealing 40' 'Armsdealing 41'
 'Armsdealing 42' 'Armsdealing 58' 'Armsdealing 59' 'Armsdealing 76'
 'Armsdealing 79' 'Armsdealing 83' 'Armsdealing 88' 'Armsdealing 92']",331.9,20,"['Armsdealing 25' 'Armsdealing 26' 'Armsdealing 41' 'Armsdealing 42'
 'Armsdealing 5' 'Armsdealing 59']",46.7,14,"['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25' 'Armsdealing 26'
 'Armsdealing 3' 'Armsdealing 58' 'Armsdealing 60' 'Armsdealing 61'
 'Armsdealing 72' 'Armsdealing 82']",24.9,Armsdealing 25,1,['April 19th reunion in Dubai\n'],1,6,"['nicolai', 'nikolai', 'the week of', 'baltasar', 'sick']",6
2,20,4239.7,4594.8,36,7,"['Armsdealing 62' 'Armsdealing 70' 'Armsdealing 81' 'Armsdealing 90'
 'Armsdealing 95']",227.1,10,['Armsdealing 81' 'Armsdealing 95'],79.1,16,"['Armsdealing 17' 'Armsdealing 25' 'Armsdealing 59' 'Armsdealing 62'
 'Armsdealing 63' 'Armsdealing 64' 'Armsdealing 86' 'Armsdealing 95']",31.9,Armsdealing 95,1,[' I know with your committment to our mutual business goals you will be able to persevere through sickness for our successful meeting.'],1,2,"['infection', 'columbia']",2
2,21,4594.8,4649.3,2,2,['Armsdealing 87' 'Armsdealing 93'],11.7,0,[],0,0,[],0,NA,0,[],0,0,[],0
2,22,4649.3,4693.2,1,1,['Armsdealing 6'],3.2,0,[],0,0,[],0,NA,0,[],0,0,[],0
2,23,4693.2,4753.6,2,2,['Armsdealing 2' 'Armsdealing 3'],53.4,0,[],0,0,[],0,NA,0,[],0,0,[],0
3,1,0,44.1,6,2,['Armsdealing 25' 'Armsdealing 88'],689.4,2,['Armsdealing 88'],6.9,1,['Armsdealing 88'],1.6,Armsdealing 88,0,[],0,1,['2009'],1
3,2,44.1,150.2,8,1,['Armsdealing 10'],284,4,['Armsdealing 25'],100.8,2,['Armsdealing 25'],58.6,Armsdealing 25,0,[],0,1,['Baltasar'],1
3,3,150.2,282.7,29,0,[],0,24,['Armsdealing 10' 'Armsdealing 25' 'Armsdealing 88'],88.1,4,['Armsdealing 10' 'Armsdealing 25'],9,Armsdealing 25,0,[],0,1,['Adad'],1
3,4,282.7,323.2,11,1,['Armsdealing 17'],127.5,7,['Armsdealing 10' 'Armsdealing 25'],29.9,1,['Armsdealing 17'],1.2,Armsdealing 25,0,[],0,2,"['Ashur.', 'textbooks']",2
3,5,323.2,374.4,17,1,['Armsdealing 22'],64.4,14,['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25' 'Armsdealing 88'],42.8,1,['Armsdealing 22'],1.8,Armsdealing 17,0,[],0,1,['Professor'],1
